"","date.mmm.yy","population_group","returned_to_shelter","returned_from_housing","ageunder16","age16.24","age25.34","age35.44","age45.54","age55.64","age65over"
"58","Sep-18","Chronic",832,559,255,68,1160,1212,72,36,361
"59","Sep-18","Refugees",216,539,38,1355,338,1290,1274,604,815
"60","Sep-18","Families",695,384,326,1004,1179,1293,593,1161,600
"61","Sep-18","Youth",682,43,44,393,571,1383,912,48,1282
"62","Sep-18","Single Adult",55,432,1326,220,1244,160,1356,966,885
"63","Sep-18","Non-refugees",653,160,331,989,16,673,1387,661,586
"64","Oct-18","All Population",228,163,1119,1403,1468,137,174,683,316
"65","Oct-18","Chronic",374,114,1490,704,552,892,233,766,1374
"66","Oct-18","Refugees",241,334,827,302,238,1228,1295,991,1341
"67","Oct-18","Families",279,76,1106,141,331,779,992,273,706
"68","Oct-18","Youth",659,173,856,70,509,1314,1166,638,903
"69","Oct-18","Single Adult",1097,433,400,702,1075,1127,1370,1163,187
"70","Oct-18","Non-refugees",85,281,1405,1481,710,1210,149,1222,346
"71","Nov-18","All Population",16,419,158,1396,266,1056,1159,898,1072
"72","Nov-18","Chronic",648,55,1312,402,200,237,1344,1466,923
"73","Nov-18","Refugees",162,514,847,977,1005,938,213,1214,1397
"74","Nov-18","Families",655,216,827,434,1367,117,1221,816,744
"75","Nov-18","Youth",819,522,583,1386,1362,778,772,837,1330
"76","Nov-18","Single Adult",473,50,830,702,650,771,473,29,542
"77","Nov-18","Non-refugees",354,10,201,164,544,587,66,197,1253
"78","Dec-18","All Population",34,229,936,365,616,302,424,803,844
"79","Dec-18","Chronic",780,351,1371,1041,1271,13,1055,1204,586
"80","Dec-18","Refugees",1059,222,429,320,16,586,308,668,696
"81","Dec-18","Families",502,144,82,806,1479,432,22,188,306
"82","Dec-18","Youth",408,334,143,782,101,412,313,877,571
"83","Dec-18","Single Adult",1051,242,1029,1004,70,421,1430,425,113
"84","Dec-18","Non-refugees",668,317,763,864,1382,235,504,999,919
